country_name,title,author,ol_id
Argentina,Ficciones,Jorge Luis Borges,OL110971W
Australia,Cloudstreet,Tim Winton,OL24636297M
Belgium,War and Turpentine,Stefan Hertman,OL20036884W
Canada,The Blind Assassin,Margaret Atwood,OL675698W
Ireland,Ulysses,James Joyce,OL86344W
Italy,The Name of the Rose,Umberto Eco,OL26334075M
Japan,The Tale of Genji,Murasaki Shikibu,OL2564006W
Netherlands,The Diary of Anne Frank,Anne Frank,OL266178W
Switzerland,Heidi,Johanna Spyri,OL7520842M
Turkey,My Name is Red,Orhan Pamuk,OL1019598W
United Kingdom,Pride and Prejudice,Jane Austen,OL66554W
United States of America,The Adventures of Tom Sawyer,Mark Twain,OL53919W